Token	NER
que	O
el	O
tiempo	O
en	O
la	O
fama	O
escribe	O
Oh	O
caja	O
de	O
la	O
belleza	O
de	O
un	O
ángel	O
cuyos	O
umbrales	O
exceden	O
los	O
orientales	O
en	O
resplandor	O
y	O
en	O
riqueza	O
Oh	O
puerta	O
del	O
Sol	O
hermosa	O
marcelo	O
fabio	O
marcelo	O
con	O
su	O
fruta	O
y	O
su	O
pescado	O
En	O
cuyo	O
alcázar	O
dorado	O
vive	O
el	O
Aurora	O
su	O
esposa	O
Aquí	O
sí	O
que	O
menos	O
vanas	O
fueran	O
con	O
varias	O
molduras	O
las	O
griegas	O
arquitecturas	O
y	O
las	O
soberbias	O
romanas	O
Pero	O
será	O
la	O
mayor	O
la	O
firmeza	O
de	O
Belisa	O
porque	O
ya	O
el	O
alma	O
me	O
avisa	O
de	O
la	O
que	O
tiene	O
su	O
amor	O
Si	O
has	O
llorado	O
si	O
has	O
sentido	O
mi	O
ausencia	O
bien	O
te	O
he	O
pagado	O
pues	O
la	O
he	O
sentido	O
y	O
llorado	O
hasta	O
perder	O
el	O
sentido	O
No	O
me	O
dejarás	O
a	O
mí	O
hacer	O
otra	O
exclamación	O
Tienes	O
a	O
Inés	O
afición	O
Participada	O
de	O
ti	O
cuando	O
un	O
amo	O
quiere	O
bien	O
es	O
descomunión	O
señor	O
que	O
todos	O
tienen	O
amor	O
cuantos	O
le	O
tratan	O
y	O
ven	O
Amor	O
tengo	O
que	O
es	O
el	O
tuyo	O
amor	O
de	O
participantes	O
fabio	O
marcelo	O
fabio	O
marcelo	O
belisa	O
inés	O
marcelo	O
Oh	O
más	O
que	O
el	O
sol	O
rutilantes	O
umbrales	O
Oriente	O
suyo	O
Oh	O
casa	O
de	O
una	O
platera	O
tan	O
limpia	O
en	O
su	O
proceder	O
que	O
sin	O
plata	O
puede	O
hacer	O
las	O
Indias	B-LOC
en	O
Talavera	B-LOC
A	O
tu	O
espetera	O
me	O
inclino	O
más	O
que	O
armería	O
en	O
Milán	B
por	O
ti	O
dijo	O
el	O
gran	O
Liñán	O
aquel	O
ingenio	O
divino	O
«Tanto	O
lustre	O
y	O
gracias	O
reina	O
en	O
lo	O
que	O
friega	O
Inesilla	O
que	O
parece	O
su	O
vajilla	O
Talavera	B-LOC
de	O
la	O
Reina»	O
Desvía	O
ignorante	O
y	O
mira	O
que	O
sale	O
el	O
sol	O
Salen	O
Belisa	O
y	O
Inés	O
Qué	O
me	O
cuentas	O
Marcelo	O
en	O
Madrid	B-LOC
Si	O
intentas	O
hacer	O
la	O
verdad	O
mentira	O
vuelve	O
los	O
ojos	O
a	O
ver	O
que	O
aguarda	O
abiertos	O
los	O
brazos	O
Si	O
puede	O
justos	O
abrazos	O
un	O
ausente	O
merecer	O
voy	O
a	O
tu	O
pecho	O
mis	O
ojos	O
tras	O
mil	O
siglos	O
de	O
no	O
verte	O
para	O
dar	O
vida	O
a	O
mi	O
muerte	O
y	O
dar	O
muerte	O
a	O
mis	O
enojos	O
Qué	O
es	O
esto	O
Los	O
brazos	O
dejas	O
belisa	O
marcelo	O
belisa	O
marcelo	O
belisa	O
marcelo	O
belisa	O
marcelo	O
caer	O
con	O
tibieza	O
tanta	O
Ya	O
mi	O
presencia	O
te	O
espanta	O
Ya	O
de	O
mi	O
pecho	O
te	O
alejas	O
No	O
me	O
abrazas	O
Por	O
qué	O
no	O
Pues	O
con	O
esta	O
flojedad	O
No	O
sabes	O
que	O
a	O
la	O
amistad	O
«estrecha»	O
el	O
sabio	O
llamó	O
porque	O
es	O
de	O
las	O
almas	O
lazo	O
apretado	O
de	O
tal	O
suerte	O
que	O
no	O
le	O
rompe	O
la	O
muerte	O
Cómo	O
ha	O
de	O
ser	O
un	O
abrazo	O
Que	O
yo	O
no	O
pienso	O
Marcelo	O
que	O
para	O
honesto	O
ha	O
de	O
ser	O
de	O
otra	O
suerte	O
A	O
tanto	O
arder	O
tales	O
efectos	O
de	O
hielo	O
Basta	O
engañado	O
he	O
venido	O
Cómo	O
te	O
ha	O
ido	O
en	O
Milán	B-LOC
Tus	O
mudanzas	O
te	O
dirán	O
de	O
la	O
suerte	O
que	O
me	O
ha	O
ido	O
Mucho	O
me	O
espanto	O
de	O
verte	O
sin	O
acabarse	O
la	O
guerra	O
El	O
verte	O
no	O
el	O
ver	O
mi	O
tierra	O
me	O
trajo	O
de	O
aquesta	O
suerte	O
y	O
una	O
bien	O
necia	O
quistión	O
que	O
con	O
un	O
alférez	O
tuve	O
donde	O
sospecho	O
que	O
anduve	O
como	O
era	O
mi	O
obligación	O
Quistión	O
con	O
alférez	O
Sí	O
de	O
que	O
pudo	O
resultarme	O
lo	O
que	O
me	O
obliga	O
a	O
ausentarme	O
Luego	O
no	O
ha	O
sido	O
por	O
mí	O
Ahora	O
bien	O
tienes	O
salud	O
Salud	O
debo	O
de	O
tener	O
si	O
no	O
la	O
vengo	O
a	O
perder	O
en	O
esta	O
nueva	O
inquietud	O
Que	O
si	O
te	O
digo	O
verdad	O
apenas	O
puede	O
el	O
deseo	O
persuadirse	O
a	O
que	O
te	O
veo	O
viendo	O
tanta	O
novedad	O
[]	O
ya	O
no	O
lo	O
puedo	O
dudar	O
pues	O
no	O
te	O
puedes	O
forzar	O
a	O
un	O
forzoso	O
cumplimiento	O
Yo	O
he	O
venido	O
y	O
no	O
es	O
razón	O
tenerte	O
en	O
pie	O
de	O
esta	O
suerte	O
basta	O
el	O
verte	O
y	O
basta	O
el	O
verte	O
con	O
salud	O
y	O
sin	O
pasión	O
Mira	O
si	O
me	O
mandas	O
algo	O
aunque	O
más	O
ausente	O
estoy	O
que	O
en	O
Milán	B-LOC
porque	O
te	O
doy	O
mi	O
palabra	O
a	O
fe	O
de	O
hidalgo	O
de	O
no	O
rehusar	O
cosa	O
alguna	O
que	O
de	O
tu	O
servicio	O
sea	O
Así	O
es	O
razón	O
que	O
lo	O
crea	O
sin	O
poner	O
duda	O
ninguna	O
Mandas	O
otra	O
cosa	O
No	O
Dios	O
te	O
guarde	O
Y	O
a	O
ti	O
Inés	O
Parte	O
XI	O
belisa	O
marcelo	O
belisa	O
marcelo	O
fabio	O
inés	O
fabio	O
inés	O
fabio	O
inés	O
fabio	O
inés	O
fabio	O
inés	O
fabio	O
inés	O
fabio	O
inés	O
fabio	O
marcelo	O
fabio	O
Quieres	O
algo	O
Que	O
me	O
des	O
si	O
soy	O
tan	O
dichoso	O
yo	O
los	O
brazos	O
por	O
bien	O
venido	O
Cómo	O
te	O
los	O
puedo	O
dar	O
si	O
el	O
ejemplo	O
he	O
de	O
imitar	O
de	O
lo	O
que	O
has	O
visto	O
y	O
oído	O
Luego	O
ya	O
se	O
ha	O
declarado	O
el	O
olvido	O
de	O
Belisa	O
Cuidado	O
que	O
vino	O
a	O
prisa	O
con	O
prisa	O
fue	O
descuidado	O
es	O
gran	O
bellaca	O
el	O
ausencia	O
Hay	O
alguna	O
novedad	O
Un	O
poco	O
de	O
voluntad	O
ya	O
casi	O
correspondencia	O
Mujer	O
que	O
quedó	O
llorando	O
tan	O
presto	O
se	O
ha	O
vuelto	O
hielo	O
Fabio	O
el	O
amor	O
es	O
buñuelo	O
que	O
ha	O
de	O
comerse	O
abrasando	O
Hiélase	O
amor	O
en	O
ausencia	O
mudó	O
Belisa	O
galán	O
Y	O
tan	O
adelante	O
están	O
No	O
hay	O
sino	O
prestar	O
paciencia	O
Mandas	O
otra	O
cosa	O
No	O
Dios	O
te	O
guarde	O
[Váyase	O
Inés]	O
Pues	O
qué	O
tienes	O
donde	O
tan	O
seguro	O
vienes	O
Ay	O
que	O
mi	O
amor	O
me	O
engañó	O
«Una	O
hermosa	O
en	O
confïanza	O
de	O
los	O
que	O
la	O
han	O
de	O
querer	O
marcelo	O
fabio	O
marcelo	O
fabio	O
por	O
lo	O
que	O
ha	O
de	O
merecer	O
desestima	O
lo	O
que	O
alcanza»	O
Qué	O
te	O
parece	O
si	O
están	O
las	O
hermosas	O
más	O
seguras	O
Pluguiera	O
a	O
Dios	O
desventuras	O
que	O
me	O
matara	O
en	O
Milán	B-LOC
el	O
alférez	O
a	O
quien	O
di	O
con	O
el	O
sombrero	O
en	O
la	O
cara	O
antes	O
que	O
la	O
tuya	O
hallara	O
tan	O
airada	O
contra	O
mí	O
Qué	O
dice	O
Inés	O
Claramente	O
dice	O
que	O
hay	O
otro	O
No	O
engaña	O
No	O
miente	O
quien	O
desengaña	O
solo	O
quien	O
engaña	O
miente	O
Vive	O
Dios	O
que	O
la	O
mujer	O
que	O
dice	O
luego	O
«yo	O
tengo	O
dueño	O
a	O
no	O
engañaros	O
vengo»	O
que	O
es	O
de	O
noble	O
proceder	O
Unas	O
bellaconas	O
que	O
hay	O
que	O
en	O
Madrid	B-LOC
no	O
pocas	O
vi	O
que	O
toman	O
de	O
este	O
el	O
tabí	O
de	O
aquel	O
el	O
sutil	O
cambray	O
ya	O
la	O
joya	O
y	O
ya	O
el	O
regalo	O
y	O
a	O
todos	O
dicen	O
«vos	O
solo	O
sois	O
mi	O
dueño	O
sois	O
mi	O
Apolo»	O
quisiera	O
ver	O
en	O
un	O
palo	O
o	O
hacer	O
fruta	O
de	O
sartén	O
de	O
sus	O
ánimas	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
Ay	O
Fabio	O
Que	O
haré	O
con	O
tan	O
claro	O
agravio	O
Consolarte	O
Dices	O
bien	O
Pero	O
dónde	O
está	O
el	O
consuelo	O
Dónde	O
En	O
cuatro	O
mil	O
mujeres	O
Que	O
quiera	O
queriendo	O
quieres	O
De	O
amor	O
al	O
amor	O
apelo	O
Pues	O
dónde	O
quieres	O
que	O
tope	O
quien	O
pueda	O
querer	O
ansí	O
Pienso	O
que	O
una	O
vez	O
leí	O
en	O
las	O
Rimillas	O
de	O
Lope	O
que	O
el	O
querer	O
olvidar	O
era	O
el	O
principio	O
de	O
olvidar	O
Ya	O
quiero	O
Ven	O
a	O
buscar	O
a	O
quien	O
quieras	O
y	O
te	O
quiera	O
Dónde	O
En	O
el	O
Prado	O
He	O
pensado	O
que	O
son	O
verdes	O
pensamientos	O
Bien	O
dices	O
que	O
es	O
de	O
jumentos	O
enamorarse	O
en	O
el	O
Prado	O
Pues	O
ir	O
a	O
la	O
iglesia	O
a	O
ver	O
mujeres	O
es	O
gran	O
maldad	O
Injusta	O
infidelidad	O
fue	O
siempre	O
a	O
mi	O
parecer	O
Óyeme	O
atento	O
así	O
vivas	O
junto	O
a	O
la	O
plaza	O
Mayor	O
tiene	O
Madrid	B-LOC
una	O
calle	O
que	O
la	O
Imperial	O
se	O
llamó	O
Trasladó	O
la	O
primavera	O
sus	O
vestidos	O
de	O
color	O
a	O
esta	O
calle	O
y	O
aun	O
el	O
año	O
todo	O
el	O
suyo	O
trasladó	O
que	O
todos	O
sus	O
doce	O
meses	O
la	O
ofrecen	O
o	O
hierba	O
o	O
flor	O
porque	O
Madrid	B-LOC
es	O
tan	O
fértil	O
que	O
las	O
da	O
a	O
cualquier	O
sazón	O
Jardineros	O
y	O
aldeanas	O
como	O
cuadros	O
de	O
labor	O
con	O
mil	O
varios	O
ramilletes	O
componen	O
hileras	O
dos	O
Allí	O
trae	O
sus	O
macetas	O
codicioso	O
el	O
labrador	O
de	O
Leganés	B-LOC
o	O
Getafe	O
Fuenlabrada	B-LOC
o	O
Alcorcón	O
Salen	O
las	O
hermosas	O
damas	O
a	O
ser	O
de	O
este	O
campo	O
el	O
sol	O
y	O
en	O
los	O
ramilletes	O
paran	O
porque	O
como	O
abejas	O
son	O
La	O
que	O
es	O
hermosa	O
parece	O
entre	O
las	O
flores	O
mejor	O
la	O
fea	O
no	O
desagrada	O
tanto	O
puede	O
el	O
buen	O
olor	O
Las	O
viejas	O
hallan	O
la	O
ruda	O
las	O
niñas	O
la	O
que	O
tomó	O
el	O
nombre	O
de	O
Valeriano	O
el	O
romano	O
emperador	O
Las	O
hechiceras	O
el	O
maro	O
y	O
otras	O
hierbas	O
que	O
sé	O
yo	O
el	O
apio	O
las	O
opiladas	O
si	O
un	O
niño	O
es	O
opilación	O
A	O
este	O
paso	O
los	O
claveles	O
la	O
violeta	O
flor	O
de	O
amor	O
el	O
alhelí	O
y	O
el	O
jazmín	O
la	O
azucena	O
y	O
girasol	O
Madruga	O
señor	O
mañana	O
que	O
el	O
campo	O
siempre	O
engendró	O
amores	O
y	O
pensamientos	O
y	O
esta	O
es	O
notable	O
ocasión	O
pues	O
no	O
hay	O
lugar	O
en	O
el	O
mundo	O
que	O
desde	O
el	O
alba	O
a	O
las	O
dos	O
marcelo	O
plante	O
un	O
jardín	O
que	O
a	O
la	O
tarde	O
es	O
piedra	O
es	O
lodo	O
y	O
peor	O
Escoge	O
en	O
sus	O
ramilletes	O
alguna	O
gallarda	O
flor	O
o	O
alguna	O
hierba	O
que	O
cure	O
esta	O
tu	O
necia	O
afición	O
Tu	O
consejo	O
aceto	O
Fabio	O
mañana	O
al	O
aurora	O
voy	O
a	O
ver	O
esos	O
ramilletes	O
aunque	O
es	O
antigua	O
opinión	O
que	O
no	O
cura	O
amor	O
con	O
hierbas	O
Dadme	O
templanza	O
y	O
favor	O
ramilletes	O
de	O
Madrid	B-LOC
que	O
me	O
abraso	O
de	O
afición	O
Váyase	O
Salen	O
el	O
alférez	O
Lisardo	O
Fineo	O
su	O
amigo	O
Celio	O
criado	O
Pienso	O
que	O
en	O
ver	O
mi	O
casa	O
os	O
hice	O
agravio	O
tal	O
es	O
mi	O
voluntad	O
y	O
lo	O
que	O
os	O
debo	O
Procedéis	O
como	O
amigo	O
y	O
como	O
sabio	O
y	O
no	O
es	O
honrarme	O
en	O
vos	O
alférez	O
nuevo	O
De	O
ver	O
mi	O
hermana	O
de	O
mi	O
padre	O
Otavio	O
menos	O
el	O
gusto	O
satisfecho	O
llevo	O
que	O
de	O
veros	O
contento	O
y	O
bueno	O
Ausente	O
de	O
vos	O
qué	O
bien	O
habrá	O
que	O
me	O
contente	O
Vuelvo	O
a	O
daros	O
mis	O
brazos	O
y	O
estad	O
cierto	O
de	O
que	O
he	O
sentido	O
vuestra	O
ausencia	O
tanto	O
que	O
hasta	O
tomar	O
en	O
vuestro	O
pecho	O
puerto	O
mi	O
sentimiento	O
ha	O
sido	O
un	O
mar	O
de	O
llanto	O
y	O
porque	O
de	O
teneros	O
encubierto	O
Parte	O
XI	O
alférez	O
fineo	O
alférez	O
fineo	O
el	O
mío	O
no	O
se	O
ofenda	O
el	O
cielo	O
santo	O
que	O
estima	O
la	O
leal	O
correspondencia	O
oíd	O
lo	O
que	O
ha	O
pasado	O
en	O
vuestra	O
ausencia	O
El	O
día	O
que	O
celebra	O
a	O
su	O
patrona	O
madre	O
de	O
la	O
mejor	O
madre	O
del	O
suelo	O
esta	O
famosa	O
villa	O
que	O
corona	O
sus	O
armas	O
con	O
estrellas	O
como	O
el	O
cielo	O
la	O
rica	O
plaza	O
que	O
de	O
ser	O
blasona	O
fértil	O
de	O
cuanto	O
al	O
aire	O
extiende	O
el	O
vuelo	O
árboles	O
crían	O
o	O
la	O
hierba	O
pace	O
fui	O
a	O
ver	O
la	O
fiesta	O
que	O
con	O
luces	O
hace	O
Iban	O
pisando	O
la	O
regada	O
arena	O
tres	O
o	O
cuatro	O
mujeres	O
en	O
manteo	O
que	O
cada	O
cual	O
pudiera	O
ser	O
sirena	O
en	O
el	O
golfo	O
del	O
mar	O
partenopeo	O
La	O
soberbia	O
del	O
oro	O
que	O
encadena	O
tal	O
vez	O
los	O
ojos	O
a	O
mayor	O
deseo	O
me	O
llamó	O
me	O
llegó	O
más	O
atrevido	O
que	O
fui	O
por	O
los	O
principios	O
recibido	O
Cúpome	O
la	O
más	O
bella	O
y	O
más	O
discreta	O
hablamos	O
no	O
le	O
fue	O
desagradable	O
que	O
en	O
tales	O
noches	O
a	O
la	O
más	O
quïeta	O
alférez	O
obliga	O
el	O
tiempo	O
a	O
libertad	O
notable	O
Y	O
esto	O
de	O
negociar	O
sin	O
estafeta	O
sino	O
que	O
a	O
boca	O
se	O
responda	O
y	O
hable	O
abrevia	O
dilaciones	O
de	O
tal	O
modo	O
que	O
allí	O
se	O
ha	O
de	O
ganar	O
o	O
perder	O
todo	O
Prometiles	O
ventanas	O
y	O
merienda	O
vieron	O
los	O
toros	O
y	O
esa	O
noche	O
tuve	O
puerta	O
en	O
su	O
casa	O
no	O
porque	O
se	O
entienda	O
que	O
más	O
que	O
con	O
los	O
ojos	O
me	O
entretuve	O
Solo	O
me	O
ha	O
dado	O
una	O
esperanza	O
en	O
prenda	O
que	O
al	O
cielo	O
claro	O
de	O
su	O
sol	O
me	O
sube	O
si	O
no	O
pretende	O
fácil	O
engañarme	O
para	O
después	O
difícil	O
despeñarme	O
Así	O
paso	O
los	O
días	O
con	O
papeles	O
y	O
las	O
noches	O
con	O
armas	O
a	O
su	O
puerta	O
hasta	O
que	O
con	O
sus	O
labios	O
de	O
claveles	O
roja	O
y	O
blanca	O
la	O
aurora	O
al	O
sol	O
despierta	O
Pero	O
a	O
no	O
me	O
matar	O
celos	O
crüeles	O
de	O
un	O
cierto	O
ausente	O
aunque	O
con	O
pena	O
incierta	O
no	O
pienso	O
que	O
el	O
estado	O
de	O
mis	O
males	O
hallara	O
bienes	O
que	O
llamara	O
iguales	O
Díjome	O
una	O
crïada	O
que	O
tenía	O
correspondencia	O
allá	O
con	O
un	O
soldado	O
primero	O
amor	O
de	O
aquesta	O
prenda	O
mía	O
que	O
del	O
duque	O
de	O
Sessa	O
fue	O
crïado	O
mas	O
que	O
desconfïada	O
que	O
vendría	O
o	O
agradecida	O
a	O
mi	O
mayor	O
cuidado	O
le	O
olvidaba	O
por	O
mí	O
cuyos	O
desvelos	O
me	O
matan	O
de	O
su	O
amor	O
y	O
de	O
mis	O
celos	O
Pluguiera	O
a	O
Dios	O
que	O
yo	O
de	O
vuestra	O
ausencia	O
os	O
pudiera	O
contar	O
la	O
misma	O
historia	O
y	O
más	O
que	O
el	O
asistir	O
a	O
su	O
presencia	O
son	O
actos	O
para	O
el	O
fin	O
de	O
la	O
vitoria	O
Hace	O
mi	O
mal	O
al	O
vuestro	O
diferencia	O
por	O
la	O
distancia	O
que	O
hay	O
de	O
pena	O
a	O
gloria	O
vos	O
en	O
casos	O
de	O
amor	O
vivís	O
dudoso	O
yo	O
en	O
los	O
de	O
honor	O
ni	O
alegre	O
ni	O
dichoso	O
Y	O
para	O
que	O
sepáis	O
con	O
qué	O
disgusto	O
vengo	O
a	O
Madrid	B-LOC
sabed	O
que	O
estando	O
un	O
día	O
no	O
lejos	O
de	O
Milán	B
el	O
campo	O
augusto	O
salió	O
de	O
la	O
española	O
infantería	O
un	O
cierto	O
aplauso	O
de	O
contento	O
y	O
gusto	O
de	O
hablar	O
en	O
la	O
retórica	O
y	O
poesía	O
porque	O
suelen	O
tal	O
vez	O
andar	O
las	O
musas	O
en	O
las	O
armas	O
de	O
pólvora	O
confusas	O
Yo	O
discurrí	O
por	O
los	O
que	O
España	B-LOC
goza	O
como	O
Gregorio	O
Hernández	O
que	O
al	O
Parnaso	O
dio	O
nueva	O
luz	O
don	O
Diego	O
de	O
Mendoza	O
don	O
Fernando	O
de	O
Acuña	O
y	O
Garcilaso	O
Él	O
muy	O
discreto	O
entre	O
la	O
gente	O
moza	O
dijo	O
que	O
el	O
Ariosto	O
solo	O
el	O
Tasso	O
eran	O
poetas	O
porque	O
de	O
esta	O
ciencia	O
gozaba	O
España	B-LOC
estado	O
de	O
inocencia	O
Yo	O
dije	O
que	O
no	O
solo	O
los	O
pasados	O
en	O
letras	O
y	O
conceptos	O
excedían	O
pero	O
que	O
ser	O
del	O
mundo	O
celebrados	O
muchos	O
de	O
los	O
presentes	O
merecían	O
Parte	O
XI	O
fineo	O
alférez	O
fineo	O
Respondiome	O
que	O
legos	O
engañados	O
de	O
vulgares	O
aplausos	O
escribían	O
y	O
que	O
eran	O
gente	O
sin	O
dotrina	O
alguna	O
pobres	O
en	O
la	O
virtud	O
y	O
en	O
la	O
fortuna	O
«Muchos	O
conozco	O
yo	O
muy	O
principales»	O
le	O
dije	O
entonces	O
«y	O
es	O
pasión	O
muy	O
necia	O
no	O
honrar	O
un	O
español	O
sus	O
naturales	O
pues	O
a	O
sí	O
mismo	O
en	O
ellos	O
se	O
desprecia»	O
«Vos	O
sois	O
el	O
necio»	O
replicó	O
«que	O
tales	O
son	O
como	O
quien	O
sus	O
necedades	O
precia»	O
«Mentís»	O
le	O
dije	O
y	O
él	O
me	O
tira	O
luego	O
el	O
sombrero	O
a	O
la	O
cara	O
vuelto	O
en	O
fuego	O
Esto	O
es	O
decir	O
verdad	O
sola	O
una	O
pluma	O
del	O
trencellín	O
entonces	O
desasida	O
me	O
tocó	O
el	O
rostro	O
y	O
por	O
decirlo	O
en	O
suma	O
le	O
di	O
riñendo	O
una	O
pequeña	O
herida	O
Si	O
afrentan	O
plumas	O
que	O
lo	O
estoy	O
presuma	O
mi	O
honor	O
mas	O
la	O
quistión	O
controvertida	O
él	O
dicen	O
que	O
lo	O
está	O
cuantos	O
Guzmanes	O
Aste	O
alféreces	O
tiene	O
y	O
capitanes	O
Lisardo	O
nunca	O
ofenden	O
plumas	O
viles	O
mayormente	O
de	O
bárbaros	O
sujetos	O
o	O
cortadas	O
groseras	O
o	O
sutiles	O
que	O
todos	O
para	O
el	O
mal	O
nacen	O
discretos	O
Si	O
fueras	O
Hector	O
tú	O
si	O
él	O
griego	O
Aquiles	O
no	O
pudieras	O
salir	O
con	O
más	O
efetos	O
honrado	O
de	O
suceso	O
semejante	O
Con	O
esto	O
no	O
pasamos	O
adelante	O
Pues	O
hízose	O
amistad	O
alférez	O
fineo	O
alférez	O
fineo	O
alférez	O
Partiose	O
luego	O
y	O
no	O
le	O
he	O
visto	O
más	O
No	O
os	O
dé	O
cuidado	O
Venid	O
a	O
ver	O
el	O
fenis	O
de	O
mi	O
fuego	O
único	O
como	O
yo	O
por	O
abrasado	O
que	O
quiero	O
que	O
veáis	O
si	O
amor	O
es	O
ciego	O
Ya	O
no	O
es	O
ciego	O
el	O
amor	O
sino	O
vendado	O
decidme	O
el	O
nombre	O
Si	O
es	O
Belisa	O
es	O
bueno	O
Está	O
de	O
gracias	O
y	O
excelencias	O
lleno	O
[Váyanse]	O
Salen	O
Rosela	O
dama	O
Clara	O
criada	O
con	O
mantos	O
y	O
ramilletes	O
en	O
las	O
manos	O
rosela	O
clara	O
rosela	O
clara	O
dominga	O
Hay	O
en	O
el	O
mundo	O
jardín	O
como	O
aquesta	O
hermosa	O
calle	O
Digo	O
que	O
Valencia	B-LOC
calle	O
calle	O
su	O
azahar	O
y	O
jazmín	O
Y	O
más	O
si	O
por	O
serafín	O
de	O
este	O
paraíso	O
estás	O
porque	O
tan	O
hermosa	O
vas	O
que	O
parece	O
que	O
estas	O
flores	O
si	O
no	O
hurtaron	O
tus	O
colores	O
confiesan	O
que	O
se	O
las	O
das	O
Hay	O
tan	O
lindos	O
ramilletes	O
Hay	O
cuadros	O
tan	O
bien	O
formados	O
De	O
estos	O
portátiles	O
prados	O
tanto	O
gusto	O
te	O
prometes	O
que	O
habrán	O
de	O
ser	O
alcahuetes	O
para	O
salir	O
cada	O
día	O
Sale	O
Dominga	O
labradora	O
con	O
un	O
canastillo	O
de	O
flores	O
Que	O
digo	O
señora	O
mía	O
no	O
ha	O
de	O
llevar	O
de	O
mis	O
flores	O
Mas	O
no	O
las	O
querrá	O
menores	O
Parte	O
XI	O
rosela	O
dominga	O
rosela	O
marcelo	O
fabio	O
marcelo	O
fabio	O
quien	O
en	O
su	O
rostro	O
las	O
tiene	O
porque	O
parece	O
que	O
viene	O
vertiendo	O
un	O
jardín	O
de	O
amores	O
Quiere	O
el	O
clavel	O
carmesí	O
Mas	O
tiénele	O
en	O
las	O
mejillas	O
Quiere	O
rojas	O
maravillas	O
o	O
mayor	O
la	O
tiene	O
en	O
sí	O
Quiere	O
este	O
vario	O
alhelí	O
Mas	O
tendrá	O
firme	O
valor	O
Quiere	O
violetas	O
de	O
amor	O
Pero	O
ya	O
con	O
él	O
vendrá	O
o	O
juntas	O
el	O
cielo	O
da	O
la	O
belleza	O
y	O
el	O
rigor	O
Aldeana	O
cortesana	O
vendéis	O
lisonjas	O
o	O
flores	O
Vos	O
a	O
lo	O
menos	O
colores	O
en	O
campos	O
de	O
nieve	O
y	O
grana	O
Yo	O
he	O
